KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggLdMargin,AggOrgZip,AggDstZip
Southbridge Vi_303_338,177714,1834,1137.08,465,1054,30301,33809
Southbridge Vi_303_338,178904,1834,1375.5,465,1054,30301,33809
Southbridge Vi_303_338,178907,1834,1228.78,465,1054,30301,33809
Southbridge Vi_303_338,178905,1834,1247.12,465,1054,30301,33809
Southbridge Vi_303_338,177002,1834,1412.18,465,1054,30301,33809
Southbridge Vi_303_338,174961,1834,1247.12,465,1054,30301,33809
Southbridge Vi_303_338,175307,1834,1302.14,465,1054,30301,33809
Southbridge Vi_303_338,175236,1834,1357.16,465,1054,30301,33809
Southbridge Vi_303_338,176202,1834,1430.52,465,1054,30301,33809
Southbridge Vi_303_338,174991,1834,1118.74,465,1054,30301,33809
Southbridge Vi_303_338,174922,1834,1155.42,465,1054,30301,33809
Southbridge Vi_303_338,175525,1834,1430.52,465,1054,30301,33809
Southbridge Vi_303_338,176249,1834,1210.44,465,1054,30301,33809
Southbridge Vi_303_338,174591,1834,1393.84,465,1054,30301,33809
Southbridge Vi_303_338,176199,1834,1210.44,465,1054,30301,33809
Southbridge Vi_303_338,177700,1834,1357.16,465,1054,30301,33809
Southbridge Vi_303_338,176666,1834,1100.4,465,1054,30301,33809
Southbridge Vi_303_338,175518,1834,1155.42,465,1054,30301,33809
Southbridge Vi_303_338,174592,1834,1283.8,465,1054,30301,33809
Southbridge Vi_303_338,174938,1834,1173.76,465,1054,30301,33809
Southbridge Vi_303_338,177705,1834,1467.2,465,1054,30301,33809
Southbridge Vi_303_338,179188,1834,1247.12,465,1054,30301,33809
Southbridge Vi_303_338,174920,1834,1265.46,465,1054,30301,33809
Southbridge Vi_303_338,177573,1834,1393.84,465,1054,30301,33809
Southbridge Vi_303_338,174663,1834,1192.1,465,1054,30301,33809
Southbridge Vi_303_338,174931,1834,1467.2,465,1054,30301,33809
Southbridge Vi_303_338,175631,1834,1155.42,465,1054,30301,33809
Southbridge Vi_303_338,176112,1834,1338.82,465,1054,30301,33809
Southbridge Vi_303_338,174932,1834,1467.2,465,1054,30301,33809
Southbridge Vi_303_338,174672,1834,1283.8,465,1054,30301,33809
Southbridge Vi_303_338,176437,1834,1247.12,465,1054,30301,33809
Southbridge Vi_303_338,177000,1834,1430.52,465,1054,30301,33809
Southbridge Vi_303_338,176436,1834,1210.44,465,1054,30301,33809
Southbridge Vi_303_338,177005,1834,1448.86,465,1054,30301,33809
Southbridge Vi_303_338,177977,1834,1247.12,465,1054,30301,33809
Southbridge Vi_303_338,179059,1834,1393.84,465,1054,30301,33809
Southbridge Vi_303_338,176684,1834,1173.76,465,1054,30301,33809
Southbridge Vi_303_338,177304,1834,1393.84,465,1054,30301,33809
Southbridge Vi_303_338,176570,1834,1393.84,465,1054,30301,33809
Southbridge Vi_303_338,177001,1834,1155.42,465,1054,30301,33809
Southbridge Vi_303_338,174589,1834,1137.08,465,1054,30301,33809
Southbridge Vi_303_338,174585,1834,1210.44,465,1054,30301,33809
Southbridge Vi_303_338,174593,1834,1357.16,465,1054,30301,33809
Southbridge Vi_303_338,179302,1834,1412.18,465,1054,30301,33809
Southbridge Vi_303_338,174993,1834,1247.12,465,1054,30301,33809
Southbridge Vi_303_338,175457,1834,1192.1,465,1054,30301,33809
Southbridge Vi_303_338,175251,1834,1228.78,465,1054,30301,33809
Southbridge Vi_303_338,179303,1834,1100.4,465,1054,30301,33809
